IMT	c1	c2	c3	cn	cM	c4	c5	c6	chm	c7	c8	c9	c10	c11a	c11b	c11c	c11d	c1a	s1	s2	s3	s4	s5	s6	f3	f4	f5
EAS(0.100000)	 -3.650000	  1.270000	  3.485707	  1.552290	  6.798373	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000000	 -0.743232	 -0.031205	 -0.200000	  0.435485	  0.264594	  0.206825	  0.076926	  0.162700	  0.557087	  0.428744	  0.350000	  0.350000	  0.403571	  0.403571	  1.000000	 -0.000100	 -0.020000
EAS(0.102329)	 -3.647746	  1.270000	  3.481357	  1.562805	  6.786185	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000026	 -0.749511	 -0.031217	 -0.200000	  0.436075	  0.265782	  0.207919	  0.079101	  0.171104	  0.557087	  0.428744	  0.350891	  0.350891	  0.403859	  0.403859	  1.000000	 -0.000100	 -0.020000
EAS(0.104713)	 -3.645493	  1.270000	  3.476973	  1.573470	  6.774008	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000053	 -0.755784	 -0.031229	 -0.200000	  0.436648	  0.266948	  0.209011	  0.081277	  0.178404	  0.557087	  0.428744	  0.351782	  0.351782	  0.404147	  0.404147	  1.000000	 -0.000100	 -0.020000
EAS(0.107152)	 -3.643239	  1.270000	  3.472554	  1.584291	  6.761841	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000079	 -0.762052	 -0.031241	 -0.200000	  0.437203	  0.268091	  0.210101	  0.083452	  0.184616	  0.557087	  0.428744	  0.352673	  0.352673	  0.404435	  0.404435	  1.000000	 -0.000100	 -0.020000
EAS(0.109648)	 -3.640985	  1.270000	  3.468100	  1.595270	  6.749684	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000105	 -0.768316	 -0.031254	 -0.200000	  0.437741	  0.269211	  0.211187	  0.085626	  0.189759	  0.557087	  0.428744	  0.353564	  0.353564	  0.404723	  0.404723	  1.000000	 -0.000100	 -0.020000
EAS(0.112202)	 -3.638731	  1.270000	  3.463612	  1.606411	  6.737537	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000132	 -0.774576	 -0.031266	 -0.200000	  0.438261	  0.270308	  0.212270	  0.087800	  0.193858	  0.557087	  0.428744	  0.354455	  0.354455	  0.405011	  0.405011	  1.000000	 -0.000100	 -0.020000
EAS(0.114815)	 -3.636478	  1.270000	  3.459088	  1.617719	  6.725397	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000158	 -0.780835	 -0.031278	 -0.200000	  0.438765	  0.271382	  0.213350	  0.089971	  0.196938	  0.557087	  0.428744	  0.355346	  0.355346	  0.405299	  0.405299	  1.000000	 -0.000100	 -0.020000
EAS(0.117490)	 -3.634224	  1.270000	  3.454531	  1.629200	  6.713264	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000184	 -0.787094	 -0.031290	 -0.200000	  0.439252	  0.272433	  0.214427	  0.092141	  0.199027	  0.557087	  0.428744	  0.356237	  0.356237	  0.405587	  0.405587	  1.000000	 -0.000100	 -0.020000
EAS(0.120226)	 -3.631970	  1.270000	  3.449940	  1.640858	  6.701136	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000210	 -0.793355	 -0.031302	 -0.200000	  0.439722	  0.273462	  0.215501	  0.094308	  0.200151	  0.557087	  0.428744	  0.357128	  0.357128	  0.405875	  0.405875	  1.000000	 -0.000100	 -0.020000
EAS(0.123027)	 -3.629717	  1.270000	  3.445317	  1.652700	  6.689011	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000237	 -0.799619	 -0.031314	 -0.200000	  0.440175	  0.274469	  0.216571	  0.096471	  0.200337	  0.557087	  0.428744	  0.358019	  0.358019	  0.406163	  0.406163	  1.000000	 -0.000100	 -0.020000
EAS(0.125893)	 -3.627463	  1.270000	  3.440663	  1.664730	  6.676886	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000263	 -0.805887	 -0.031326	 -0.200000	  0.440613	  0.275455	  0.217638	  0.098631	  0.199607	  0.557087	  0.428744	  0.358910	  0.358910	  0.406451	  0.406451	  1.000000	 -0.000100	 -0.020000
EAS(0.128825)	 -3.625209	  1.270000	  3.435979	  1.676957	  6.664758	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000289	 -0.812160	 -0.031338	 -0.200000	  0.441035	  0.276420	  0.218701	  0.100786	  0.197976	  0.557087	  0.428744	  0.359801	  0.359801	  0.406739	  0.406739	  1.000000	 -0.000100	 -0.020000
EAS(0.131826)	 -3.622956	  1.270000	  3.431266	  1.689386	  6.652626	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000316	 -0.818440	 -0.031350	 -0.200000	  0.441442	  0.277365	  0.219760	  0.102937	  0.195453	  0.557087	  0.428744	  0.360692	  0.360692	  0.407027	  0.407027	  1.000000	 -0.000100	 -0.020000
EAS(0.134896)	 -3.620702	  1.270000	  3.426526	  1.702022	  6.640488	 -1.860000	  7.581800	  0.450000	  3.837989	 -0.000342	 -0.824727	 -0.031362	 -0.200000	  0.441834	  0.278292	  0.220816	  0.105082	  0.192038	  0.557087	  0.428744	  0.361583	  0.361583	  0.407315	  0.407315	  1.000000	 -0.000100	 -0.020000
EAS(0.138038)	 -3.618448	  1.270000	  3.421758	  1.714851	  6.628341	 -1.860000	  7.581800	  0.450000	  3.837966	 -0.000368	 -0.831022	 -0.031374	 -0.200000	  0.442211	  0.279199	  0.221868	  0.107220	  0.187709	  0.557087	  0.428744	  0.362474	  0.362474	  0.407603	  0.407603	  1.000000	 -0.000100	 -0.020000
EAS(0.141254)	 -3.616194	  1.270000	  3.416961	  1.727530	  6.616185	 -1.860000	  7.581800	  0.450000	  3.837943	 -0.000395	 -0.837326	 -0.031386	 -0.200000	  0.442574	  0.280089	  0.222916	  0.109353	  0.182415	  0.557087	  0.428744	  0.363365	  0.363365	  0.407891	  0.407891	  1.000000	 -0.000100	 -0.020000
EAS(0.144544)	 -3.613941	  1.270000	  3.412138	  1.740292	  6.604018	 -1.860000	  7.581800	  0.450000	  3.837920	 -0.000421	 -0.843641	 -0.031398	 -0.200000	  0.442923	  0.280962	  0.223959	  0.111478	  0.176050	  0.557087	  0.428744	  0.364256	  0.364256	  0.408179	  0.408179	  1.000000	 -0.000100	 -0.020000
EAS(0.147911)	 -3.611687	  1.270000	  3.407288	  1.753135	  6.591841	 -1.860000	  7.581800	  0.450000	  3.837898	 -0.000447	 -0.849965	 -0.031410	 -0.200000	  0.443259	  0.281818	  0.224998	  0.113596	  0.168417	  0.557087	  0.428744	  0.365147	  0.365147	  0.408466	  0.408466	  1.000000	 -0.000100	 -0.020000
EAS(0.151356)	 -3.609433	  1.270000	  3.402410	  1.766056	  6.579653	 -1.860000	  7.581800	  0.450000	  3.837875	 -0.000473	 -0.856302	 -0.031422	 -0.200000	  0.443581	  0.282658	  0.226032	  0.115706	  0.159204	  0.557087	  0.428744	  0.366038	  0.366038	  0.408754	  0.408754	  1.000000	 -0.000100	 -0.020000
EAS(0.154882)	 -3.607180	  1.270000	  3.397505	  1.779054	  6.567454	 -1.860000	  7.581800	  0.450000	  3.837852	 -0.000500	 -0.862649	 -0.031434	 -0.200000	  0.443892	  0.283483	  0.227060	  0.117808	  0.148232	  0.557087	  0.428744	  0.366929	  0.366929	  0.409042	  0.409042	  1.000000	 -0.000100	 -0.020000
EAS(0.158489)	 -3.604926	  1.270000	  3.392571	  1.792128	  6.555244	 -1.860000	  7.581800	  0.450000	  3.837829	 -0.000526	 -0.869009	 -0.031446	 -0.200000	  0.444190	  0.284293	  0.228083	  0.119903	  0.137220	  0.557087	  0.428744	  0.367820	  0.367820	  0.409330	  0.409330	  1.000000	 -0.000100	 -0.020000
EAS(0.162181)	 -3.602672	  1.270000	  3.387609	  1.805279	  6.543025	 -1.860000	  7.581800	  0.450000	  3.837807	 -0.000552	 -0.875381	 -0.031458	 -0.200000	  0.444476	  0.285089	  0.229099	  0.121989	  0.126377	  0.557087	  0.428744	  0.368711	  0.368711	  0.409618	  0.409618	  1.000000	 -0.000100	 -0.020000
EAS(0.165959)	 -3.600419	  1.270000	  3.382616	  1.818506	  6.530798	 -1.860000	  7.581800	  0.450000	  3.837784	 -0.000579	 -0.881766	 -0.031470	 -0.200000	  0.444750	  0.285873	  0.230109	  0.124068	  0.115998	  0.557087	  0.428744	  0.369602	  0.369602	  0.409906	  0.409906	  1.000000	 -0.000100	 -0.020000
EAS(0.169824)	 -3.598165	  1.270000	  3.377593	  1.831813	  6.518563	 -1.860000	  7.581800	  0.450000	  3.837761	 -0.000605	 -0.888161	 -0.031482	 -0.200000	  0.445013	  0.286645	  0.231112	  0.126139	  0.106305	  0.557087	  0.428744	  0.370493	  0.370493	  0.410194	  0.410194	  1.000000	 -0.000100	 -0.020000
EAS(0.173780)	 -3.595911	  1.270000	  3.372537	  1.845204	  6.506323	 -1.860000	  7.581800	  0.450000	  3.837739	 -0.000631	 -0.894568	 -0.031494	 -0.200000	  0.445264	  0.287406	  0.232107	  0.128202	  0.097432	  0.557087	  0.428744	  0.371384	  0.371384	  0.410482	  0.410482	  1.000000	 -0.000100	 -0.020000
EAS(0.177828)	 -3.593657	  1.270000	  3.367447	  1.858689	  6.494080	 -1.860000	  7.581800	  0.450000	  3.837716	 -0.000658	 -0.900984	 -0.031506	 -0.200000	  0.445506	  0.288157	  0.233095	  0.130259	  0.089408	  0.557087	  0.428744	  0.372275	  0.372275	  0.410770	  0.410770	  1.000000	 -0.000100	 -0.020000
EAS(0.181970)	 -3.591404	  1.270000	  3.362321	  1.872279	  6.481837	 -1.860000	  7.581800	  0.450000	  3.837693	 -0.000684	 -0.907408	 -0.031518	 -0.200000	  0.445736	  0.288899	  0.234075	  0.132310	  0.082191	  0.557087	  0.428744	  0.373166	  0.373166	  0.411058	  0.411058	  1.000000	 -0.000100	 -0.020000
EAS(0.186209)	 -3.589150	  1.270000	  3.357157	  1.885993	  6.469595	 -1.860000	  7.581800	  0.450000	  3.837670	 -0.000710	 -0.913838	 -0.031530	 -0.200000	  0.445958	  0.289633	  0.235045	  0.134355	  0.075719	  0.557087	  0.428744	  0.374057	  0.374057	  0.411346	  0.411346	  1.000000	 -0.000100	 -0.020000
EAS(0.190546)	 -3.586896	  1.270000	  3.351952	  1.899852	  6.457360	 -1.860000	  7.581800	  0.450000	  3.837648	 -0.000736	 -0.920273	 -0.031542	 -0.200000	  0.446170	  0.290360	  0.236007	  0.136396	  0.069960	  0.557087	  0.428744	  0.374948	  0.374948	  0.411634	  0.411634	  1.000000	 -0.000100	 -0.020000
EAS(0.194984)	 -3.584643	  1.270000	  3.346704	  1.913881	  6.445135	 -1.860000	  7.581800	  0.450000	  3.837625	 -0.000763	 -0.926707	 -0.031554	 -0.200000	  0.446373	  0.291079	  0.236960	  0.138434	  0.064894	  0.557087	  0.428744	  0.375839	  0.375839	  0.411922	  0.411922	  1.000000	 -0.000100	 -0.020000
EAS(0.199526)	 -3.582389	  1.270000	  3.341409	  1.928109	  6.432925	 -1.860000	  7.581800	  0.450000	  3.837602	 -0.000789	 -0.933139	 -0.031565	 -0.200000	  0.446567	  0.291792	  0.237904	  0.140470	  0.060432	  0.557087	  0.428744	  0.376730	  0.376730	  0.412210	  0.412210	  1.000000	 -0.000100	 -0.020000
EAS(0.204174)	 -3.580135	  1.270000	  3.336062	  1.942562	  6.420737	 -1.860000	  7.581800	  0.450009	  3.837535	 -0.000815	 -0.939562	 -0.031576	 -0.200000	  0.446753	  0.292498	  0.238839	  0.142506	  0.056355	  0.557087	  0.428744	  0.377621	  0.377621	  0.412498	  0.412498	  1.000000	 -0.000100	 -0.020000
EAS(0.208930)	 -3.577882	  1.270000	  3.330660	  1.957265	  6.408579	 -1.860000	  7.581800	  0.450020	  3.837463	 -0.000842	 -0.945971	 -0.031584	 -0.200000	  0.446929	  0.293196	  0.239765	  0.144546	  0.052425	  0.557087	  0.428744	  0.378512	  0.378512	  0.412786	  0.412786	  1.000000	 -0.000100	 -0.020000
EAS(0.213796)	 -3.575628	  1.270000	  3.325194	  1.972236	  6.396460	 -1.860000	  7.581800	  0.450030	  3.837391	 -0.000868	 -0.952357	 -0.031591	 -0.200000	  0.447093	  0.293886	  0.240683	  0.146591	  0.048448	  0.557087	  0.428744	  0.379403	  0.379403	  0.413074	  0.413074	  1.000000	 -0.000100	 -0.020000
EAS(0.218776)	 -3.573374	  1.270000	  3.319656	  1.987482	  6.384395	 -1.860000	  7.581800	  0.450040	  3.837319	 -0.000895	 -0.958710	 -0.031594	 -0.200000	  0.447242	  0.294562	  0.241593	  0.148647	  0.044314	  0.557087	  0.428744	  0.380294	  0.380294	  0.413362	  0.413362	  1.000000	 -0.000100	 -0.020000
EAS(0.223872)	 -3.571120	  1.270000	  3.314036	  2.003003	  6.372400	 -1.860000	  7.581800	  0.450051	  3.837246	 -0.000921	 -0.965017	 -0.031592	 -0.200000	  0.447369	  0.295218	  0.242495	  0.150717	  0.040002	  0.557087	  0.428744	  0.381185	  0.381185	  0.413650	  0.413650	  1.000000	 -0.000100	 -0.020000
EAS(0.229087)	 -3.568867	  1.270000	  3.308317	  2.018786	  6.360501	 -1.860000	  7.581800	  0.450061	  3.837174	 -0.000948	 -0.971260	 -0.031584	 -0.200000	  0.447464	  0.295840	  0.243388	  0.152807	  0.035561	  0.557087	  0.428744	  0.382076	  0.382076	  0.413938	  0.413938	  1.000000	 -0.000100	 -0.020000
EAS(0.234423)	 -3.566613	  1.270000	  3.302481	  2.034811	  6.348728	 -1.860000	  7.581800	  0.450071	  3.837102	 -0.000975	 -0.977419	 -0.031569	 -0.200000	  0.447509	  0.296404	  0.244272	  0.154923	  0.031081	  0.557087	  0.428744	  0.382967	  0.382967	  0.414226	  0.414226	  1.000000	 -0.000100	 -0.020000
EAS(0.239883)	 -3.564359	  1.270000	  3.296505	  2.051047	  6.337118	 -1.860000	  7.581800	  0.450081	  3.837030	 -0.001002	 -0.983476	 -0.031544	 -0.200000	  0.447477	  0.296875	  0.245143	  0.157071	  0.026665	  0.557087	  0.428744	  0.383858	  0.383858	  0.414514	  0.414514	  1.000000	 -0.000100	 -0.020000
EAS(0.245471)	 -3.562106	  1.270000	  3.290368	  2.067466	  6.325703	 -1.860000	  7.581800	  0.450092	  3.836957	 -0.001029	 -0.989424	 -0.031508	 -0.200000	  0.447337	  0.297205	  0.245996	  0.159251	  0.022398	  0.557087	  0.428744	  0.384749	  0.384749	  0.414802	  0.414802	  1.000000	 -0.000100	 -0.020000
EAS(0.251189)	 -3.559852	  1.270000	  3.284245	  2.084234	  6.314195	 -1.860000	  7.581800	  0.450100	  3.836887	 -0.001057	 -0.995535	 -0.031459	 -0.200000	  0.446390	  0.296806	  0.246440	  0.161109	  0.018400	  0.557087	  0.428744	  0.385640	  0.385640	  0.415090	  0.415090	  1.000000	 -0.000100	 -0.020000
EAS(0.257040)	 -3.557598	  1.270000	  3.278072	  2.101274	  6.302698	 -1.860000	  7.581800	  0.450100	  3.836823	 -0.001085	 -1.001593	 -0.031395	 -0.200000	  0.445297	  0.296295	  0.246824	  0.162928	  0.014828	  0.557087	  0.428744	  0.386531	  0.386531	  0.415377	  0.415377	  1.000000	 -0.000100	 -0.020000
EAS(0.263027)	 -3.555345	  1.270000	  3.271860	  2.118586	  6.291195	 -1.860000	  7.581800	  0.450100	  3.836759	 -0.001114	 -1.007597	 -0.031314	 -0.200000	  0.444055	  0.295672	  0.247148	  0.164701	  0.011802	  0.557087	  0.428744	  0.387422	  0.387423	  0.415665	  0.415665	  1.000000	 -0.000100	 -0.020000
EAS(0.269153)	 -3.553091	  1.270000	  3.265620	  2.136168	  6.279663	 -1.860000	  7.581800	  0.450100	  3.836695	 -0.001143	 -1.013548	 -0.031216	 -0.200000	  0.442664	  0.294939	  0.247410	  0.166419	  0.009332	  0.557087	  0.428744	  0.388313	  0.388315	  0.415953	  0.415953	  1.000000	 -0.000100	 -0.020000
EAS(0.275423)	 -3.550837	  1.270000	  3.259367	  2.154022	  6.268081	 -1.860000	  7.581800	  0.450100	  3.836631	 -0.001173	 -1.019444	 -0.031097	 -0.200000	  0.441120	  0.294096	  0.247610	  0.168075	  0.007374	  0.557087	  0.428744	  0.389204	  0.389210	  0.416241	  0.416241	  1.000000	 -0.000101	 -0.020000
EAS(0.281838)	 -3.548583	  1.270000	  3.253112	  2.172148	  6.256428	 -1.860000	  7.581800	  0.450100	  3.836567	 -0.001204	 -1.025283	 -0.030956	 -0.200000	  0.439421	  0.293142	  0.247747	  0.169662	  0.005851	  0.557087	  0.428744	  0.390095	  0.390106	  0.416529	  0.416529	  1.000000	 -0.000104	 -0.020000
EAS(0.288403)	 -3.546330	  1.270000	  3.246867	  2.190547	  6.244686	 -1.860000	  7.581800	  0.450100	  3.836503	 -0.001235	 -1.031063	 -0.030793	 -0.200000	  0.437563	  0.292078	  0.247821	  0.171173	  0.004670	  0.557087	  0.428744	  0.390986	  0.391006	  0.416817	  0.416817	  1.000000	 -0.000108	 -0.020000
EAS(0.295121)	 -3.544076	  1.270000	  3.240639	  2.209219	  6.232840	 -1.860000	  7.581800	  0.450100	  3.836439	 -0.001267	 -1.036779	 -0.030606	 -0.200000	  0.435544	  0.290904	  0.247830	  0.172604	  0.003770	  0.557087	  0.428744	  0.391877	  0.391909	  0.417105	  0.417105	  1.000000	 -0.000115	 -0.020000
EAS(0.301995)	 -3.541822	  1.270000	  3.234433	  2.228162	  6.220881	 -1.860000	  7.581800	  0.450100	  3.836375	 -0.001300	 -1.042426	 -0.030393	 -0.200000	  0.433360	  0.289619	  0.247774	  0.173950	  0.003132	  0.557087	  0.428744	  0.392768	  0.392817	  0.417393	  0.417393	  1.000000	 -0.000125	 -0.020000
EAS(0.309030)	 -3.539569	  1.270000	  3.228251	  2.247373	  6.208807	 -1.860000	  7.581800	  0.450100	  3.836311	 -0.001334	 -1.047999	 -0.030153	 -0.200000	  0.431011	  0.288223	  0.247650	  0.175206	  0.002769	  0.557087	  0.428744	  0.393659	  0.393730	  0.417681	  0.417681	  1.000000	 -0.000140	 -0.020000
EAS(0.316228)	 -3.537315	  1.270000	  3.222090	  2.266844	  6.196622	 -1.860000	  7.581800	  0.450100	  3.836246	 -0.001368	 -1.053496	 -0.029886	 -0.200000	  0.428495	  0.286715	  0.247457	  0.176371	  0.002709	  0.557087	  0.428744	  0.394550	  0.394648	  0.417969	  0.417969	  1.000000	 -0.000160	 -0.020000
EAS(0.323594)	 -3.535061	  1.270000	  3.215942	  2.286567	  6.184337	 -1.860000	  7.581800	  0.450100	  3.836182	 -0.001404	 -1.058916	 -0.029591	 -0.200000	  0.425813	  0.285093	  0.247191	  0.177442	  0.002939	  0.557087	  0.428744	  0.395440	  0.395570	  0.418257	  0.418257	  1.000000	 -0.000185	 -0.020000
EAS(0.331131)	 -3.532807	  1.270000	  3.209797	  2.306530	  6.171970	 -1.860000	  7.581800	  0.450100	  3.836118	 -0.001440	 -1.064256	 -0.029267	 -0.200000	  0.422970	  0.283359	  0.246850	  0.178416	  0.003388	  0.557087	  0.428744	  0.396331	  0.396497	  0.418545	  0.418545	  1.000000	 -0.000216	 -0.020000
EAS(0.338844)	 -3.530554	  1.270000	  3.203643	  2.326725	  6.159537	 -1.860000	  7.581800	  0.450112	  3.835975	 -0.001477	 -1.069512	 -0.028914	 -0.200000	  0.419972	  0.281515	  0.246433	  0.179294	  0.003931	  0.557087	  0.428744	  0.397220	  0.397429	  0.418833	  0.418833	  1.000000	 -0.000253	 -0.020000
EAS(0.346737)	 -3.528300	  1.270000	  3.197469	  2.347145	  6.147058	 -1.860000	  7.581800	  0.450129	  3.835799	 -0.001516	 -1.074678	 -0.028530	 -0.200000	  0.416828	  0.279565	  0.245937	  0.180076	  0.004412	  0.557087	  0.428744	  0.398108	  0.398363	  0.419121	  0.419121	  1.000000	 -0.000298	 -0.020000
EAS(0.354813)	 -3.526046	  1.270000	  3.191262	  2.367787	  6.134551	 -1.860000	  7.581800	  0.450146	  3.835623	 -0.001555	 -1.079748	 -0.028117	 -0.200000	  0.413544	  0.277516	  0.245360	  0.180761	  0.004666	  0.557087	  0.428744	  0.398993	  0.399300	  0.419409	  0.419409	  1.000000	 -0.000352	 -0.020000
EAS(0.363078)	 -3.523793	  1.270000	  3.185011	  2.388649	  6.122035	 -1.860000	  7.581800	  0.450163	  3.835446	 -0.001595	 -1.084716	 -0.027674	 -0.200000	  0.410128	  0.275372	  0.244700	  0.181351	  0.004536	  0.557087	  0.428744	  0.399874	  0.400238	  0.419697	  0.419697	  1.000000	 -0.000414	 -0.020000
EAS(0.371535)	 -3.521539	  1.270000	  3.178704	  2.409733	  6.109527	 -1.860000	  7.581800	  0.450180	  3.835270	 -0.001636	 -1.089577	 -0.027201	 -0.200000	  0.406586	  0.273139	  0.243957	  0.181850	  0.003910	  0.557087	  0.428744	  0.400750	  0.401174	  0.419985	  0.419985	  1.000000	 -0.000485	 -0.020000
EAS(0.380189)	 -3.519285	  1.270000	  3.172331	  2.431039	  6.097043	 -1.860000	  7.581800	  0.450197	  3.835094	 -0.001678	 -1.094325	 -0.026697	 -0.200000	  0.402925	  0.270823	  0.243130	  0.182260	  0.002756	  0.557086	  0.428744	  0.401620	  0.402109	  0.420273	  0.420273	  1.000000	 -0.000567	 -0.020000
EAS(0.389045)	 -3.517032	  1.270000	  3.165884	  2.452573	  6.084595	 -1.860000	  7.581800	  0.450214	  3.834918	 -0.001721	 -1.098950	 -0.026163	 -0.200000	  0.399154	  0.268430	  0.242219	  0.182586	  0.001114	  0.557084	  0.428742	  0.402481	  0.403039	  0.420561	  0.420561	  1.000000	 -0.000658	 -0.020000
EAS(0.398107)	 -3.514778	  1.270000	  3.159356	  2.474337	  6.072195	 -1.860000	  7.581800	  0.450231	  3.834742	 -0.001764	 -1.103447	 -0.025599	 -0.200000	  0.395277	  0.265964	  0.241226	  0.182831	 -0.000939	  0.557080	  0.428737	  0.403333	  0.403962	  0.420849	  0.420849	  1.000000	 -0.000760	 -0.020000
